"","GeneSymbol","GeneMappingID","Group","EntrezID","Pathway","Ntwrk.all","Allnet.count","Ntwrk.TLR","TLRnet.count","Ntwrk.PROT","PROTnet.count","Ntwrk.SPLICE","SPLICEnet.count","Ntwrk.TLR.hits","TLRhits.net.count","Ntwrk.PROT.hits","PROThits.net.count","Ntwrk.SPLICE.hits","SPLICEhits.net.count","Total_Path_Hits.net.count"
"21","ASF1A",285,"Novel","25842",NA,"ATR, TAF1, ASF1B",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"22","ASF1B",153,"Novel","55723",NA,"ASF1A, KAT2B, UBC, ATR, TAF1",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"23","ATF3",214,"Novel","467",NA,"JUN, UBC",2,"JUN",1,NA,0,NA,0,"JUN",1,NA,0,NA,0,1
"24","ATP6V1B2",224,"Novel","526","Phagosome ; Rheumatoid arthritis ; Epithelial cell signaling in Helicobacter pylori infection","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"25","ATR",138,"Novel","545","Cell cycle","ASF1B, ASF1A, UBC, XPA, CCNB2, RAD51, MSH2",7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"26","BCAS2",229,"Spliceosome","10286","Spliceosome","CDC5L, UBC, EFTUD2, PRPF8, MFAP1, PLRG1",6,NA,0,"PRPF8, EFTUD2, PLRG1, CDC5L",4,NA,0,NA,0,"PRPF8, PLRG1, EFTUD2, CDC5L",4,NA,0,4
"27","BCL11B",215,"Novel","64919",NA,"HDAC2",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"28","BCL2L1",126,"Novel","598","Toxoplasmosis ; Apoptosis ; Amyotrophic lateral sclerosis (ALS) ; Pancreatic cancer ; Jak-STAT signaling pathway ; Chronic myeloid leukemia","DNM1L, SPATA25, PMAIP1, UBC, PGAM5",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"29","BCL3",240,"Novel","602",NA,"UBC, RELA, IKBKB",3,"RELA, IKBKB",2,NA,0,NA,0,"RELA, IKBKB",2,NA,0,NA,0,2
"30","BMP7",152,"Novel","655","Cytokine-cytokine receptor interaction","BMPR1B",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"31","BMPR1B",174,"Novel","658","Cytokine-cytokine receptor interaction","SMAD6, BMP7",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"32","BRAF",109,"Novel","673","Regulation of actin cytoskeleton ; MAPK signaling pathway ; Chemokine signaling pathway ; Focal adhesion ; Hepatitis C ; Pancreatic cancer ; Prostate cancer ; Long-term depression ; Chronic myeloid leukemia ; Neurotrophin signaling pathway ; Melanoma ; Natural killer cell mediated cytotoxicity ; Progesterone-mediated oocyte maturation ; Renal cell carcinoma","RAP1A, CAPN3, YWHAH, SFN, YWHAG, UBC",6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"33","BRCA2",197,"Novel","675","Pancreatic cancer","PALB2, RAD51",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"34","BRSK2",287,"Novel","9024",NA,"CDC25B, UBC, CDC25C",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"35","BUB1B",181,"Novel","701","Cell cycle","CDC20B, PLK1, MIS12, UBC",4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"36","C9orf172",190,"Novel","389813",NA,"PARD6G, PDLIM7",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"37","CACNA1C",339,"Novel","775","MAPK signaling pathway ; GnRH signaling pathway ; Arrhythmogenic right ventricular cardiomyopathy (ARVC)","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"38","CALCR",144,"Novel","799","Osteoclast differentiation","APOB",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"39","CALR",114,"Novel","811","Chagas disease (American trypanosomiasis) ; Phagosome","HSP90B1, LRP1, APOB, PDIA3, UBC, P4HB",6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"40","CAMLG",310,"Novel","819",NA,"EGFR",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"41","CAPN2",288,"Novel","824","Focal adhesion ; Apoptosis","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"42","CAPN3",353,"Novel","825",NA,"BRAF",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"43","CARD11",322,"Novel","84433","T cell receptor signaling pathway","UBC, MAP3K7",2,"MAP3K7",1,NA,0,NA,0,"MAP3K7",1,NA,0,NA,0,1
"44","CBR1",401,"Novel","873","Arachidonic acid metabolism","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"45","CCDC12",245,"Spliceosome","151903","Spliceosome","CDC5L",1,NA,0,"CDC5L",1,NA,0,NA,0,"CDC5L",1,NA,0,1
"46","CCDC94",257,"Novel","55702",NA,"PLRG1, XAB2, CDC5L, SNW1",4,NA,0,"XAB2, SNW1, PLRG1, CDC5L",4,NA,0,NA,0,"XAB2, SNW1, PLRG1, CDC5L",4,NA,0,4
"47","CCDC97",272,"Novel","90324",NA,"SF3B6, SF3B1",2,NA,0,"SF3B1",1,NA,0,NA,0,"SF3B1",1,NA,0,1
"48","CCNB2",81,"Novel","9133","Cell cycle ; Progesterone-mediated oocyte maturation","ATR, UBC, CKS2",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"49","CCND2",210,"Novel","894","Focal adhesion ; Cell cycle ; Jak-STAT signaling pathway","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"50","CCNE1",94,"Novel","898","Prostate cancer ; Cell cycle","E2F3, MYBL2, HIST1H1B, UBC, FBXW7",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"51","CCS",338,"Novel","9973","Amyotrophic lateral sclerosis (ALS)","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"52","CD14",182,"Toll-like receptor signaling pathway","929","Regulation of actin cytoskeleton ; MAPK signaling pathway ; Toll-like receptor signaling pathway ; Amoebiasis ; Phagosome ; Hematopoietic cell lineage ; Pathogenic Escherichia coli infection","TLR2",1,"TLR2",1,NA,0,NA,0,"TLR2",1,NA,0,NA,0,1
"53","CD2BP2",234,"Novel","10421",NA,"PRPF8",1,NA,0,"PRPF8",1,NA,0,NA,0,"PRPF8",1,NA,0,1
"54","CDC20B",342,"Novel","166979",NA,"BUB1B",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"55","CDC25B",154,"Novel","994","MAPK signaling pathway ; Cell cycle ; Progesterone-mediated oocyte maturation","BRSK2, UBC, YWHAH, SFN, YWHAG",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"56","CDC25C",155,"Novel","995","Cell cycle ; Progesterone-mediated oocyte maturation","BRSK2, UBC, PLK1, PCNA, YWHAH",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"57","CDC42",110,"Novel","998","Regulation of actin cytoskeleton ; MAPK signaling pathway ; Leukocyte transendothelial migration ; Chemokine signaling pathway ; Endocytosis ; Focal adhesion ; Tight junction ; Fc gamma R-mediated phagocytosis ; Shigellosis ; Bacterial invasion of epithelial cells ; GnRH signaling pathway ; Pancreatic cancer ; Epithelial cell signaling in Helicobacter pylori infection ; T cell receptor signaling pathway ; Neurotrophin signaling pathway ; Pathogenic Escherichia coli infection ; VEGF signaling pathway ; Renal cell carcinoma","RAP1A, ARHGDIB, ARHGEF6, PARD6G, ARHGAP32, CDC42EP3, UBC",7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"58","CDC42EP3",378,"Novel","10602",NA,"CDC42",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"59","CDC5L",54,"Spliceosome","988","Spliceosome","PRPF8, PLRG1, SNW1, SF3B1, XAB2, SF3B2, SNRPD3, EFTUD2, SRSF1, DYNC1H1, TOP2A, BCAS2, SRRM1, CCDC12, CCDC94, SFPQ, UBC",17,NA,0,"CCDC12, XAB2, SF3B1, SNW1, SF3B2, PRPF8, BCAS2, EFTUD2, SNRPD3, SRSF1, PLRG1",11,NA,0,NA,0,"XAB2, SRSF1, SNW1, SNRPD3, SF3B2, SF3B1, PRPF8, PLRG1, EFTUD2, CCDC12, BCAS2",11,NA,0,11
"60","CDH5",170,"Novel","1003","Leukocyte transendothelial migration ; Cell adhesion molecules (CAMs)","CTNND1, PARD6G, PARD3",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"61","CDX2",207,"Novel","1045",NA,"PSMD2, PSMA5, PSMC4",3,NA,0,NA,0,"PSMD2, PSMC4, PSMA5",3,NA,0,NA,0,"PSMD2, PSMC4, PSMA5",3,3
"62","CFL1",140,"Novel","1072","Regulation of actin cytoskeleton ; Fc gamma R-mediated phagocytosis","CFL2, UBC, ACTA2",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"63","CFL2",268,"Novel","1073","Regulation of actin cytoskeleton ; Fc gamma R-mediated phagocytosis","CFL1, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"64","CFLAR",238,"Novel","8837","Chagas disease (American trypanosomiasis) ; Apoptosis","UBC, RIPK1",2,"RIPK1",1,NA,0,NA,0,"RIPK1",1,NA,0,NA,0,1
"65","CHD4",164,"Novel","1108",NA,"MBD3, HDAC2, UBC, MTA2",4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"66","CHMP2A",232,"Novel","27243","Endocytosis","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"67","CKS2",66,"Novel","1164",NA,"CCNB2, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"68","CLINT1",335,"Novel","9685",NA,"CLTC, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"69","CLK1",308,"Novel","1195",NA,"SRSF1",1,NA,0,"SRSF1",1,NA,0,NA,0,"SRSF1",1,NA,0,1
"70","CLTA",299,"Novel","1211","Endocytosis ; Bacterial invasion of epithelial cells","CLTC, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"71","CLTC",160,"Novel","1213","Endocytosis ; Bacterial invasion of epithelial cells","SNX9, CLTA, CLINT1, EPN1, MAP3K7, UBC, IKBKB",7,"MAP3K7, IKBKB",2,NA,0,NA,0,"MAP3K7, IKBKB",2,NA,0,NA,0,2
"72","CNTN2",317,"Novel","6900","Cell adhesion molecules (CAMs)","IKBKB, UBC, KAT2B",3,"IKBKB",1,NA,0,NA,0,"IKBKB",1,NA,0,NA,0,1
"73","COPS2",157,"Novel","9318",NA,"SIN3B, UBC, COPS6, COPS5, PSMC1, PSMC5, JUN, PSMA6, SIN3A",9,"JUN",1,NA,0,"PSMC5, PSMC1, PSMA6",3,"JUN",1,NA,0,"PSMC5, PSMC1, PSMA6",3,4
"74","COPS5",96,"Novel","10987",NA,"SMAD4, COPS2, TOP2A, COPS6, JUN, PSMD12, UBC, PSMA6, IKBKB",9,"JUN, IKBKB",2,NA,0,"PSMD12, PSMA6",2,"JUN, IKBKB",2,NA,0,"PSMD12, PSMA6",2,4
"75","COPS6",67,"Novel","10980",NA,"COPS5, RAE1, COPS2, KLHL8, UBC",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"76","CREB1",267,"Novel","1385","Vasopressin-regulated water reabsorption ; Osteoclast differentiation ; Prostate cancer","UBC, HDAC2",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"77","CSF1R",328,"Novel","1436","Cytokine-cytokine receptor interaction ; Endocytosis ; Osteoclast differentiation ; Hematopoietic cell lineage","RPS27A, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"78","CSNK2A2",98,"Novel","1459","Tight junction","TOP2A, MAF1, RRP1, HADHA, UBC",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"79","CTNND1",311,"Novel","1500","Leukocyte transendothelial migration","EGFR, UBC, CDH5",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"80","CXCL11",417,"Toll-like receptor signaling pathway","6373","Cytokine-cytokine receptor interaction ; Toll-like receptor signaling pathway ; Chemokine signaling pathway","CXCR3",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"81","CXCL13",356,"Novel","10563","Cytokine-cytokine receptor interaction ; Chemokine signaling pathway","CXCR5",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"82","CXCL8",361,"Novel","3576",NA,"RELA",1,"RELA",1,NA,0,NA,0,"RELA",1,NA,0,NA,0,1
"83","CXCR3",202,"Novel","2833","Cytokine-cytokine receptor interaction ; Chemokine signaling pathway","CXCL11",1,"CXCL11",1,NA,0,NA,0,"CXCL11",1,NA,0,NA,0,1
"84","CXCR4",184,"Novel","7852","Cytokine-cytokine receptor interaction ; Leukocyte transendothelial migration ; Chemokine signaling pathway ; Endocytosis","TLR2, UBC",2,"TLR2",1,NA,0,NA,0,"TLR2",1,NA,0,NA,0,1
"85","CXCR5",188,"Novel","643","Cytokine-cytokine receptor interaction ; Chemokine signaling pathway","CXCL13",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"86","CYLD",292,"Novel","1540","RIG-I-like receptor signaling pathway ; Osteoclast differentiation","UBC, RIPK1, TUBA1A",3,"RIPK1",1,NA,0,NA,0,"RIPK1",1,NA,0,NA,0,1
"87","DAD1",127,"Novel","1603",NA,"SEC61A1, UBC, PCNA",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"88","DCTN4",302,"Novel","51164","Vasopressin-regulated water reabsorption","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"89","DDX3X",266,"Novel","1654","RIG-I-like receptor signaling pathway","EIF4G1, EIF2S1, EIF3B, PRPF8, UBC",5,NA,0,"PRPF8",1,NA,0,NA,0,"PRPF8",1,NA,0,1
"90","DNM1",337,"Novel","1759","Endocytosis ; Fc gamma R-mediated phagocytosis ; Bacterial invasion of epithelial cells","SNX9, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"91","DNM1L",248,"Novel","10059","Endocytosis ; Fc gamma R-mediated phagocytosis ; Bacterial invasion of epithelial cells","BCL2L1, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"92","DNTT",411,"Novel","1791","Hematopoietic cell lineage","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"93","DNTTIP1",420,"Novel","116092",NA,"HDAC2",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"94","DSG2",206,"Novel","1829","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"95","DUSP5",407,"Novel","1847","MAPK signaling pathway","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"96","DYNC1H1",169,"Novel","1778","Phagosome ; Vasopressin-regulated water reabsorption","DYNLT3, UBC, YARS, SAP30BP, CDC5L",5,NA,0,"CDC5L",1,NA,0,NA,0,"CDC5L",1,NA,0,1
"97","DYNC1I1",186,"Novel","1780","Phagosome ; Vasopressin-regulated water reabsorption","DYNLL1",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"98","DYNC1I2",369,"Novel","1781","Phagosome ; Vasopressin-regulated water reabsorption","UBC, DYNLT3",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"99","DYNLL1",349,"Novel","8655","Vasopressin-regulated water reabsorption","TRAF3IP3, UBC, DYNC1I1, GNB2L1",4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"100","DYNLT3",192,"Novel","6990",NA,"DYNC1I2, DYNC1H1",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"101","E2F3",112,"Novel","1871","Pancreatic cancer ; Prostate cancer ; Cell cycle ; Chronic myeloid leukemia ; Melanoma","ACACB, MYBL2, CCNE1, MSH2",4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"102","EDA",198,"Novel","1896","Cytokine-cytokine receptor interaction","EDAR",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"103","EDAR",385,"Novel","10913","Cytokine-cytokine receptor interaction","EDA",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"104","EEF2K",251,"Novel","29904",NA,"UBC, RAE1",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"105","EFTUD2",97,"Spliceosome","9343","Spliceosome","BCAS2, IK, UBC, RPS2, XAB2, SNRPD3, CDC5L, RPL19, PRPF8, SF3B1, SNW1",11,NA,0,"XAB2, SF3B1, SNW1, PRPF8, BCAS2, SNRPD3, CDC5L",7,NA,0,NA,0,"XAB2, SNW1, SNRPD3, SF3B1, PRPF8, CDC5L, BCAS2",7,NA,0,7
"106","EGFR",31,"Novel","1956","Regulation of actin cytoskeleton ; Cytokine-cytokine receptor interaction ; MAPK signaling pathway ; Endocytosis ; Focal adhesion ; Hepatitis C ; GnRH signaling pathway ; Pancreatic cancer ; Prostate cancer ; Epithelial cell signaling in Helicobacter pylori infection ; Gap junction ; Melanoma","SFN, RPS27A, HSPA5, TUBA1A, STAT1, PDGFRB, GAPDH, GAB2, HNRNPH1, PTK2B, CAMLG, CTNND1, PIK3R3, PTPN2, EPN1, LAMP1, PTPN6, LRIG1, PLSCR1, TLR2, UBC, EPS8, UBB, STUB1",24,"PIK3R3, TLR2, STAT1",3,NA,0,NA,0,"PIK3R3, TLR2, STAT1",3,NA,0,NA,0,3
"107","EGR1",324,"Novel","1958","Prion diseases","SP1",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"108","EHMT1",325,"Novel","79813","Lysine degradation","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"109","EHMT2",213,"Novel","10919","Lysine degradation","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"110","EIF1",226,"Novel","10209","RNA transport","EIF3A, EIF3B, EIF2S2, EIF3J, RPS2, RPS27A, EIF3I, UBC",8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"111","EIF2AK2",53,"Novel","5610","Hepatitis C","EIF2S1, STAT1, UBC, MAP3K7",4,"MAP3K7, STAT1",2,NA,0,NA,0,"MAP3K7, STAT1",2,NA,0,NA,0,2
"112","EIF2B3",298,"Novel","8891","RNA transport","EIF2S3, EIF2S1, UBC, EIF2S2",4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"113","EIF2S1",58,"Novel","1965","RNA transport ; Hepatitis C","EIF3I, EIF3B, EIF3A, EIF2S3, EIF2S2, DDX3X, EIF2B3, UBC, EIF2AK2",9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"114","EIF2S2",92,"Novel","8894","RNA transport","EIF1, EIF2B3, EIF2S1, EIF3A, EIF3B, UBC, EIF2S3",7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"115","EIF2S3",91,"Novel","1968","RNA transport","EIF2S2, EIF2B3, EIF3I, EIF3B, UBC, EIF3A, EIF2S1",7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"116","EIF3A",90,"Novel","8661","RNA transport","EIF2S3, EIF2S2, EIF4B, EIF4G2, EIF1, EIF3I, EIF3J, UBC, EIF2S1, EIF3B",10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"117","EIF3B",84,"Novel","8662","RNA transport","EIF3J, EIF3A, EIF2S3, EIF2S2, EIF4G1, EIF1, DDX3X, EIF4A1, UBC, EIF3I, EIF2S1",11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"118","EIF3I",59,"Novel","8668","RNA transport","EIF3B, EIF3J, EIF3A, EIF2S3, EIF1, UBC, EIF2S1",7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"119","EIF3J",86,"Novel","8669","RNA transport","EIF3A, EIF1, EIF3B, UBC, EIF3I",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"120","EIF4A1",314,"Novel","1973","RNA transport","EIF4G2, EIF4G1, UBC, EIF4B, EIF3B",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"121","EIF4B",108,"Novel","1975","RNA transport","EIF4G1, EIF4G2, EIF4A1, EIF3A, UBC",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"122","EIF4G1",120,"Novel","1981","RNA transport","POLDIP3, EIF4G2, DDX3X, EIF4A1, EIF4B, UBC, EIF3B",7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"123","EIF4G2",171,"Novel","1982","RNA transport","EIF4A1, UBC, EIF4B, EIF4G1, EIF3A",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"124","ELF4",365,"Novel","2000",NA,"RUNX1, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"125","ELMSAN1",418,"Novel","91748",NA,"HDAC2",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"126","ENDOG",352,"Novel","2021","Apoptosis","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"127","EPAS1",149,"Novel","2034","Renal cell carcinoma","ARNT, SP1",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"128","EPN1",336,"Novel","29924","Endocytosis","EGFR, CLTC, UBC",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"129","EPS8",28,"Novel","2059",NA,"EGFR",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"130","ERC1",392,"Novel","23085",NA,"IKBKB, UBC",2,"IKBKB",1,NA,0,NA,0,"IKBKB",1,NA,0,NA,0,1
"131","EXOSC10",203,"Novel","5394",NA,"SUV39H2, SUV39H1, UBC",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"132","FAHD2B",424,"Novel","151313",NA,"PCNA",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"133","FBXW7",88,"Novel","55294",NA,"CCNE1, UBC, UBB, JUN",4,"JUN",1,NA,0,NA,0,"JUN",1,NA,0,NA,0,1
"134","FGF8",387,"Novel","2253","Regulation of actin cytoskeleton ; MAPK signaling pathway ; Melanoma","FGFR3",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"135","FGF9",357,"Novel","2254","Regulation of actin cytoskeleton ; MAPK signaling pathway ; Melanoma","FGFR3",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"136","FGFR3",189,"Novel","2261","Regulation of actin cytoskeleton ; MAPK signaling pathway ; Endocytosis","FGF9, FGF8",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"137","FHL2",386,"Novel","2274","Osteoclast differentiation","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"138","FYTTD1",358,"Novel","84248",NA,"NXF1",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"139","GAB2",220,"Novel","9846","Osteoclast differentiation ; Fc gamma R-mediated phagocytosis ; Chronic myeloid leukemia ; Fc epsilon RI signaling pathway","EGFR",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"140","GAPDH",216,"Novel","2597",NA,"UBC, EGFR",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"141","GIT1",179,"Novel","28964","Regulation of actin cytoskeleton ; Endocytosis ; Epithelial cell signaling in Helicobacter pylori infection","ADRBK1, ARHGEF6, PXN",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"142","GNA11",394,"Novel","2767","Chagas disease (American trypanosomiasis) ; Amoebiasis ; GnRH signaling pathway ; Long-term depression ; Gap junction","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
